RATING,TITLE,CREDIT,BOX OFFICE,YEAR
46.0,Ghost in the Shell,Major,37.1,2017
73.0,Sing,Ash,270.3,2016
90.0,Captain America: Civil War,Natasha Romanoff/Black Widow,408.1,2016
95.0,The Jungle Book,Kaa,364.0,2016
86.0,"Hail, Caesar!",DeeAnna Moran,28.0,2016
75.0,Avengers: Age of Ultron,Natasha Romanoff/Black Widow,429.2,2015
67.0,Lucy,Lucy,108.6,2014
86.0,Chef,Molly,23.7,2014
89.0,Captain America: The Winter Soldier,Natasha Romanoff/Black Widow,228.7,2014
85.0,Under the Skin,Laura,2.4,2014
95.0,Her,Samantha,18.0,2013
62.0,Hitchcock,Janet Leigh,6.1,2012
96.0,Chasing Ice,Actor,1.4,2012
92.0,Marvel's The Avengers,Natasha Romanoff/Black Widow,623.3,2012
66.0,We Bought a Zoo,Kelly Foster,72.8,2011
72.0,Iron Man 2,Natalie Rushman/Black Widow,312.1,2010
40.0,He's Just Not That Into You,Anna,93.8,2009
14.0,The Spirit,Silken Floss,19.8,2008
81.0,Vicky Cristina Barcelona,Cristina,23.2,2008
42.0,The Other Boleyn Girl,Mary Boleyn,26.9,2008
34.0,The Nanny Diaries,Annie Braddock,25.9,2007
76.0,The Prestige,Olivia Wenscombe,53.1,2006
32.0,The Black Dahlia,Kay Lake,22.6,2006
40.0,Scoop,Sondra Pransky,10.5,2006
77.0,Match Point,Nola Rice,23.1,2005
40.0,The Island,Jordan Two Delta/Sarah Jordan,35.9,2005
83.0,In Good Company,Alex Foreman,45.5,2004
68.0,The Spongebob Squarepants Movie,Mindy,85.4,2004
17.0,The Perfect Score,Francesca,10.3,2004
72.0,Girl With a Pearl Earring,Griet,11.6,2004
95.0,Lost In Translation,Charlotte,44.6,2003
48.0,Eight Legged Freaks,Ashley Parker,17.3,2002
81.0,The Man Who Wasn't There,Birdy Abundas,7.5,2001
92.0,Ghost World,Rebecca,4.7,2001
