"PERIODO_INGRESSO","GENERO","entrada","nota","ano","periodo"
"1979.2","F",1,471,"1979","2"
"1983.1","M",1,709,"1983","1"
"1984.1","F",1,818,"1984","1"
"1987.1","M",1,717,"1987","1"
"1988.1","F",1,635,"1988","1"
"1990.1","F",1,565,"1990","1"
"1991.1","M",1,605,"1991","1"
"1992.1","M",1,611,"1992","1"
"1993.1","M",1,726,"1993","1"
"1993.2","M",2,625.5,"1993","2"
"1994.1","F",1,617,"1994","1"
"1994.1","M",1,662,"1994","1"
"1994.2","M",1,556,"1994","2"
"1995.1","F",1,606,"1995","1"
"1995.2","F",1,561,"1995","2"
"1995.2","M",2,563.5,"1995","2"
"1996.2","F",1,623,"1996","2"
"1996.2","M",3,615,"1996","2"
"1997.1","F",1,645,"1997","1"
"1997.1","M",2,670.5,"1997","1"
"1997.2","F",1,589,"1997","2"
"1997.2","M",4,590.5,"1997","2"
"1998.1","F",1,722,"1998","1"
"1998.1","M",3,636.666666666667,"1998","1"
"1998.2","F",1,564,"1998","2"
"1998.2","M",2,585,"1998","2"
"1999.1","M",11,663.363636363636,"1999","1"
"1999.2","F",2,587,"1999","2"
"1999.2","M",10,581.444444444444,"1999","2"
"2000.1","M",7,630.142857142857,"2000","1"
"2000.2","F",2,578.5,"2000","2"
"2000.2","M",6,575.666666666667,"2000","2"
"2001.1","F",4,641.25,"2001","1"
"2001.1","M",23,639,"2001","1"
"2001.2","F",1,608,"2001","2"
"2001.2","M",21,601.190476190476,"2001","2"
"2002.1","F",3,628,"2002","1"
"2002.1","M",20,615.5,"2002","1"
"2002.2","F",3,NA,"2002","2"
"2002.2","M",26,588.571428571429,"2002","2"
"2003.1","F",5,NA,"2003","1"
"2003.1","M",31,639.8,"2003","1"
"2003.2","F",3,NA,"2003","2"
"2003.2","M",31,599,"2003","2"
"2004.1","F",7,607,"2004","1"
"2004.1","M",29,631.75,"2004","1"
"2004.2","F",6,579,"2004","2"
"2004.2","M",31,586.857142857143,"2004","2"
"2005.1","F",7,640.5,"2005","1"
"2005.1","M",29,640.888888888889,"2005","1"
"2005.2","F",4,0,"2005","2"
"2005.2","M",32,159.727272727273,"2005","2"
"2006.1","F",5,600,"2006","1"
"2006.1","M",34,623.375,"2006","1"
"2006.2","F",6,574,"2006","2"
"2006.2","M",30,576.7,"2006","2"
"2007.1","F",15,607,"2007","1"
"2007.1","M",26,640,"2007","1"
"2007.2","F",8,573,"2007","2"
"2007.2","M",33,589,"2007","2"
"2008.1","F",5,661,"2008","1"
"2008.1","M",36,642.8,"2008","1"
"2008.2","F",7,NA,"2008","2"
"2008.2","M",43,645.8,"2008","2"
"2009.1","F",16,636,"2009","1"
"2009.1","M",62,628.9,"2009","1"
"2009.2","F",8,557,"2009","2"
"2009.2","M",60,561.2,"2009","2"
"2010.1","F",12,NA,"2010","1"
"2010.1","M",85,616.666666666667,"2010","1"
"2010.2","F",18,NA,"2010","2"
"2010.2","M",76,552.4,"2010","2"
"2011.1","F",21,674,"2011","1"
"2011.1","M",81,670.5,"2011","1"
"2011.2","F",13,NA,"2011","2"
"2011.2","M",98,634.9375,"2011","2"
"2012.1","F",13,663,"2012","1"
"2012.1","M",108,662.153846153846,"2012","1"
"2012.2","F",27,NA,"2012","2"
"2012.2","M",88,464.75,"2012","2"
"2013.1","F",17,658,"2013","1"
"2013.1","M",93,657.2,"2013","1"
"2013.2","F",20,632.666666666667,"2013","2"
"2013.2","M",94,630.285714285714,"2013","2"
"2014.1","F",20,677,"2014","1"
"2014.1","M",99,659.7,"2014","1"
"2014.2","F",14,626,"2014","2"
"2014.2","M",80,624.166666666667,"2014","2"
"2015.1","F",14,NA,"2015","1"
"2015.1","M",103,660.5,"2015","1"
"2015.2","F",21,632,"2015","2"
"2015.2","M",86,662,"2015","2"
