"Artista","Período","Gênero(s)","Vendas estimadas (milhões)"
"Tonico & Tinoco","1930-1994","Sertanejo","150"
"Roberto Carlos","1959-presente","MPB/Jovem Guarda","120"
"Nelson Gonçalves","1941-1998","MPB/Samba-Canção","75"
"Rita Lee","1963-presente","Rock","55"
"Nelson Ned","1960-2014","Música romântica/Música brega","45"
"Xuxa","1984-presente","Infantil","40"
"Leonardo/Leandro e Leonardo","1983 - 1998","Sertanejo","35"
"Chitãozinho e Xororó","1970-presente","Sertanejo","30"
"Raça Negra","1983-presente","Pagode/Samba","30"
"Maria Bethânia","1965-presente","MPB","26"
"Legião Urbana","1982-1996","Rock","25"
"Mara Maravilha","1978-Presente","Infantil/Música cristã","23"
"Amado Batista","1975-presente","Brega/Romântico","22"
"Zezé Di Camargo & Luciano","1991-presente","Sertanejo","20"
"Sandy & Junior","1990-2007","Pop","17"
"Fábio Júnior","1969-presente","Romântico","16"
"Banda Calypso","1999-2015","Calipso/Carimbó/Lambada","15"
"Pitty","1995-presente","Rock","15"
"Sepultura","1985-presente","Death metal","15"
"Ivete Sangalo","1993-presente","Axé","15"
"Roberta Miranda","1986-presente","Sertanejo","14"
"Angélica","1990-2001","Pop","13"
"Zeca Pagodinho","1983-presente","Pagode","12"
"Alexandre Pires","1989-presente","Samba/Pagode","10"
"Calcinha Preta","1995-presente","Forró","10"
"Carmen Miranda","1929-1953","Samba/Marchinha de Carnaval","10"
"Diante do Trono","1999- presente","Música cristã contemporânea","10"
"Lulu Santos","1973-presente","Pop rock","10"
"Marisa Monte","1987-presente","MPB","10"
"Turma do Balão Mágico","1982-1986","Infantil","10"
"Wando","1973-2012","Brega-romântico","10"
"Kid Abelha","1984-presente","Pop rock","9"
"Bruno & Marrone","1994-presente","Sertanejo","9"
"Fafá de Belém","1973-presente","MPB","9"
"Exaltasamba","1986 - 2012, 2016 - presente","Samba e Pagode","8"
"Padre Marcelo Rossi","1997-presente","Música católica","8"
"Rose Nascimento","1990-presente","Música cristã contemporânea","8"
"Roupa Nova","1980 - presente","Pop rock","8"
"Shirley Carvalhaes","1977-presente","Música cristã contemporânea","8"
"Só pra Contrariar","1989-presente","Pagode","8"
"KLB","2000-presente","Pop, Pop rock","7"
"Belo","1993-presente","Samba/Pagode","7"
"Aline Barros","1995-atualmente","Música cristã contemporânea","7"
"Daniela Mercury","1981-presente","Axé","7"
"Cassiane","1981-presente","Música cristã contemporânea","7"
"Titãs","1982-presente","Rock","6,3"
"Deborah Blando","1991-presente","Pop","6"
"Trazendo a Arca","2007-presente","Música cristã contemporânea","6"
"Rouge","2002-2005","Pop","6"
"Skank","1991-presente","Rock","5,5"
"Ana Carolina","1999-presente","MPB/Pop","5"
"Charlie Brown Jr.","1992-2013","Rock","5"
"Os Paralamas do Sucesso","1977-presente","Rock","5"
"Raimundos","1987-presente","Rock","5"

